gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",24.000000000,25.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",13.000000000,15.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2019-07-01,PEAK,"Headway / Schedule Adherence",6.000000000,9.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2019-07-01,PEAK,"Headway / Schedule Adherence",7.000000000,15.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",30.000000000,34.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",14.000000000,14.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2019-07-01,PEAK,"Headway / Schedule Adherence",8.000000000,10.000000000,.000000000
CR-Needham,,"Needham Line","Commuter Rail",,"Commuter Rail",2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",20.000000000,22.000000000,.000000000
CR-Needham,,"Needham Line","Commuter Rail",,"Commuter Rail",2019-07-01,PEAK,"Headway / Schedule Adherence",8.000000000,10.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",21.000000000,23.000000000,1.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2019-07-01,PEAK,"Headway / Schedule Adherence",5.000000000,10.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",17.000000000,19.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2019-07-01,PEAK,"Headway / Schedule Adherence",10.000000000,13.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2019-07-01,PEAK,"Headway / Schedule Adherence",10.000000000,10.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2019-07-01,PEAK,"Headway / Schedule Adherence",15.000000000,15.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,18.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",27.000000000,28.000000000,.000000000
701,CT1,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",222.000000000,354.000000000,
701,CT1,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",91.000000000,213.000000000,
747,CT2,,"Local Bus","Other Bus",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",154.000000000,272.000000000,
747,CT2,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",234.000000000,416.000000000,
708,CT3,,"Local Bus","Other Bus",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",145.000000000,236.000000000,
