gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2019-09-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",12.000000000,14.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2019-09-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
1,1,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",899.000000000,1286.000000000,
8,8,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",173.000000000,468.000000000,
9,9,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",288.000000000,419.000000000,
10,10,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",136.000000000,351.000000000,
11,11,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",279.000000000,394.000000000,
15,15,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",643.000000000,932.000000000,
16,16,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",314.000000000,421.000000000,
17,17,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",66.000000000,156.000000000,
21,21,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",112.000000000,156.000000000,
22,22,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",837.000000000,1085.000000000,
23,23,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",1055.000000000,1423.000000000,
24,24,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",134.000000000,191.000000000,
26,26,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",61.000000000,91.000000000,
28,28,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",1108.000000000,1643.000000000,
30,30,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",123.000000000,140.000000000,
31,31,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",267.000000000,526.000000000,
32,32,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",632.000000000,866.000000000,
34,34,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",252.000000000,315.000000000,
34E,34E,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",319.000000000,576.000000000,
35,35,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",111.000000000,137.000000000,
36,36,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",346.000000000,466.000000000,
39,39,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",1060.000000000,1433.000000000,
40,40,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",71.000000000,88.000000000,
41,41,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",125.000000000,216.000000000,
42,42,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",150.000000000,184.000000000,
43,43,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",244.000000000,370.000000000,
44,44,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",208.000000000,334.000000000,
45,45,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",69.000000000,305.000000000,
47,47,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",146.000000000,356.000000000,
55,55,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",66.000000000,137.000000000,
57,57,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",738.000000000,1068.000000000,
59,59,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",98.000000000,112.000000000,
60,60,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",163.000000000,235.000000000,
64,64,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",33.000000000,88.000000000,
66,66,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",771.000000000,1163.000000000,
69,69,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",183.000000000,228.000000000,
70,70,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",327.000000000,677.000000000,
71,71,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",455.000000000,540.000000000,
725,72/75,,"Limited Service","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",156.000000000,262.000000000,
73,73,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",456.000000000,540.000000000,
77,77,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",610.000000000,890.000000000,
78,78,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",175.000000000,266.000000000,
80,80,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",158.000000000,210.000000000,
83,83,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",104.000000000,194.000000000,
86,86,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",116.000000000,307.000000000,
87,87,,"Local Bus","Other Bus",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",291.000000000,387.000000000,
